序号,BV号,标题,UP主,UP主_UID,UP主主页,视频链接,字幕状态,刷新批次,刷新时间,是否关注
1,BV1rncxzZEyC,为什么聪明人在二十多岁时会失败,TED官方精选,256724889,https://space.bilibili.com/256724889,https://www.bilibili.com/video/BV1rncxzZEyC,无字幕,1,2026-02-24 16:37:14,否
2,BV1qCrYB4Ekb,人均20万去了趟南极！但…… ｜南极【上】,小鹿Lawrence,37029661,https://space.bilibili.com/37029661,https://www.bilibili.com/video/BV1qCrYB4Ekb,无字幕,1,2026-02-24 16:37:14,否
3,BV1uefzBzEGG,一个牛逼的考研调剂网站！！！,HaoYo好友,1442021965,https://space.bilibili.com/1442021965,https://www.bilibili.com/video/BV1uefzBzEGG,已提取,1,2026-02-24 16:37:14,否
4,BV1Bm6bB5EJ3,OpenClaw(clawdbot)是什么？跟Skills/MCP/RAG/Memory/AI Agent有什么关系?,小白debug,302188068,https://space.bilibili.com/302188068,https://www.bilibili.com/video/BV1Bm6bB5EJ3,已提取,1,2026-02-24 16:37:14,否
5,BV1ksf7BKEp8,博士成果一般，靠做博后能弥补么？博士成果还行，就证明你适合当高校教师么？,老司机耿进财,81249447,https://space.bilibili.com/81249447,https://www.bilibili.com/video/BV1ksf7BKEp8,已提取,1,2026-02-24 16:37:14,是
6,BV17wFNz4EvH,我收藏了一整年的风,-小D-biu,27565758,https://space.bilibili.com/27565758,https://www.bilibili.com/video/BV17wFNz4EvH,已提取,1,2026-02-24 16:37:14,否
7,BV1HafJBuEY9,万字深度解读《小镇喧嚣》考公体制内必读，带你看懂中国基层政治,大罗小罗自习室,391366781,https://space.bilibili.com/391366781,https://www.bilibili.com/video/BV1HafJBuEY9,已提取,1,2026-02-24 16:37:14,否
8,BV12Sc5zuESd,耗时一年，数码博主的终极新家是什么样？,硬件茶谈,14871346,https://space.bilibili.com/14871346,https://www.bilibili.com/video/BV12Sc5zuESd,无字幕,1,2026-02-24 16:37:14,否
9,BV1uXFZzAE1L,Octree —— 开启 AI 驱动的 LaTeX 创作新时代,LaTeX_工作室,209746320,https://space.bilibili.com/209746320,https://www.bilibili.com/video/BV1uXFZzAE1L,无字幕,1,2026-02-24 16:37:14,是
10,BV1gAiUBGE1J,把矩阵画成有向图之后，许多线性代数难题为什么突然变清楚了？,无限理论,405232374,https://space.bilibili.com/405232374,https://www.bilibili.com/video/BV1gAiUBGE1J,已提取,2,2026-02-24 16:37:28,是
11,BV1bZfMBQEfK,【MoeSR Next】下一代ACGN图像超分辨率算法,-星の忆-,228292951,https://space.bilibili.com/228292951,https://www.bilibili.com/video/BV1bZfMBQEfK,已提取,2,2026-02-24 16:37:28,否
12,BV1HMfTBTEfC,帅臣2027水力学考研课程重磅发布！,帅臣水力流体考研,3546977870547893,https://space.bilibili.com/3546977870547893,https://www.bilibili.com/video/BV1HMfTBTEfC,已提取,2,2026-02-24 16:37:28,否
13,BV12RkH,你身上至少有1个碳原子曾经在秦始皇身上存在过的概率,castelu,184538069,https://space.bilibili.com/184538069,https://www.bilibili.com/video/BV12RkH,提取失败,2,2026-02-24 16:37:28,是
14,BV1VEfZBYEoi,我来到了东南亚动物黑市，濒危物种随便买？,查叔Charles,30079180,https://space.bilibili.com/30079180,https://www.bilibili.com/video/BV1VEfZBYEoi,无字幕,2,2026-02-24 16:37:28,否
15,BV1jV6JB2Ej8,越南女导游月入5K+，一日三餐吃什么？怎么生活？,平平出击,405279279,https://space.bilibili.com/405279279,https://www.bilibili.com/video/BV1jV6JB2Ej8,已提取,2,2026-02-24 16:37:28,否
16,BV1796gBtEqF,“忍不住化身一个高速鱼雷”,尽墨for车,5321968,https://space.bilibili.com/5321968,https://www.bilibili.com/video/BV1796gBtEqF,已提取,2,2026-02-24 16:37:28,否
17,BV1R56kB5Ek6,评分1.0，主角杀了70亿人类！作者在地球一定很想家吧？！真是一场酣畅淋漓的赤石啊！,OldSao老骚,11062819,https://space.bilibili.com/11062819,https://www.bilibili.com/video/BV1R56kB5Ek6,已提取,2,2026-02-24 16:37:28,否
