序号,标题,链接,时长
40,人类驯服可控核聚变还有多少路程？对能量奇点创始人杨钊3小时访谈（含字幕）,https://www.youtube.com/watch?v=pVuE4J5cn98,9223秒
41,104. 和Rokid祝铭明聊，吴妈、阿里、硬件创业黑森林的第11年,https://www.youtube.com/watch?v=qW-kgogQwJc,7736秒
42,103. Lovart创始人陈冕复盘应用创业这两年：这一刻就是好爽啊！！哈哈哈哈哈,https://www.youtube.com/watch?v=Xo7TxXkNsoA,6328秒
43,102. 和张祥雨聊，多模态研究的挣扎史和未来两年的2个“GPT-4时刻”,https://www.youtube.com/watch?v=vWrYHvSRz0s,8924秒
44,101. 对YouWare创始人明超平3小时访谈：今天Agent像大猩猩刚拿起一根烧火棍,https://www.youtube.com/watch?v=a04POJEknCY,9765秒
45,100. 对话奔驰全球CEO康林松：转型期CEO和转型之中的139岁奔驰,https://www.youtube.com/watch?v=9Yjws_rt378,3477秒
46,99. 对能量奇点创始人杨钊3小时访谈：人类驯服可控核聚变还有多少路程？,https://www.youtube.com/watch?v=aoaSwGAJW6M,9275秒
47,【独家对话奔驰全球CEO康林松】转型之中的139岁奔驰,https://www.youtube.com/watch?v=2Qs4MfEzCO0,2047秒
48,逐篇解析机器人基座模型和VLA经典论文（含投屏版）——“人就是最智能的VLA”,https://www.youtube.com/watch?v=eiQFomOuCJs,8981秒
49,98. 逐篇讲解机器人基座模型和VLA经典论文——“人就是最智能的VLA”,https://www.youtube.com/watch?v=3jI6F3M2ocU,8981秒
50,97. 25年Q1大模型季报：和广密聊当下最大非共识、AGI的主线与主峰,https://www.youtube.com/watch?v=YshXmh_q_Q4,7271秒
51,96. 和郎咸朋聊，自动驾驶10年演进史、关键技术细节和特斯拉,https://www.youtube.com/watch?v=qtugoE1xQZk,7220秒
52,95. 对Manus创始人肖弘的3小时访谈：世界不是线性外推，做博弈中的重要变量,https://www.youtube.com/watch?v=VdWEE6vOYRw,12167秒
53,94. 逐篇讲解DeepSeek、Kimi、MiniMax注意力机制新论文——“硬件上的暴力美学”,https://www.youtube.com/watch?v=42CveqxzU5M,9373秒
54,逐篇讲解DeepSeek、Kimi、MiniMax注意力机制新论文（含投屏版）——“硬件上的暴力美学”,https://www.youtube.com/watch?v=VaDDCfggaJE,9373秒
55,93. 离开字节、MiniMax的张前川，发出AGI对人类威胁的预警,https://www.youtube.com/watch?v=hBEOntt_pxM,7642秒
56,92. 和张亚勤院士聊，意识、寿命、机器人、生物智能和物种的延伸,https://www.youtube.com/watch?v=77rA4Gofyik,3187秒
57,逐篇讲解DeepSeek关键9篇论文及创新点（含投屏）——“勇敢者的游戏”,https://www.youtube.com/watch?v=Hbmr1dJutnk,12053秒
58,91. 逐篇讲解DeepSeek关键9篇论文及创新点——“勇敢者的游戏”,https://www.youtube.com/watch?v=j5CSpSqNCJw,12053秒
59,90. 朱啸虎又来了：中国现实主义AIGC故事的1周年连载,https://www.youtube.com/watch?v=WUxS_r9hFHc,3788秒
60,89. 逐句讲解DeepSeek-R1、Kimi K1.5、OpenAI o1技术报告——“最优美的算法最干净”,https://www.youtube.com/watch?v=0AImqp6KznY,10175秒
61,88. 和吴翼技术解读OpenAI Operator：推理从抽象世界走向物理世界的开端,https://www.youtube.com/watch?v=usv9yyA0bs0,4322秒
62,87. 对李想的3小时访谈（播客版）：宅男、AI、家庭、游戏和天梯,https://www.youtube.com/watch?v=mbiPeZnmz9A,10418秒
63,【李想2024唯一深度对谈（纯享版）】张小珺对话李想,https://www.youtube.com/watch?v=4ZWJj0D_FSA,5233秒
64,86. 大模型季报年终特辑：和广密预言LLM产品超越Google之路,https://www.youtube.com/watch?v=NbLjYB_g_ss,5534秒
65,85. 与总统竞选成员聊，总统候选人与美国叙事如何PMF？,https://www.youtube.com/watch?v=Y9ORAaoKSjA,3131秒
66,84. 融了近4亿的AI创业者在干嘛？岂凡超的第一次访谈,https://www.youtube.com/watch?v=NNKoxIL00kg,6263秒
67,83. 黄仁勋和3万亿美元英伟达是如何炼成的？,https://www.youtube.com/watch?v=h21t9FgGtOs,6246秒
68,82. 和以太坊Vitalik Buterin聊：LLM的权力、技术哲学观与猫,https://www.youtube.com/watch?v=ec4PJQXDOHw,4090秒
